,items,support,ordered_statistics
25,"frozenset({'rolls/buns', 'pip fruit', 'ice cream'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'ice cream'}), items_add=frozenset({'pip fruit', 'rolls/buns'}), confidence=0.022026431718061675, lift=4.453804024288606), OrderedStatistic(items_base=frozenset({'pip fruit'}), items_add=frozenset({'ice cream', 'rolls/buns'}), confidence=0.006811989100817439, lift=3.9202997275204363), OrderedStatistic(items_base=frozenset({'rolls/buns'}), items_add=frozenset({'pip fruit', 'ice cream'}), confidence=0.003037667071688943, lift=4.545261239368165), OrderedStatistic(items_base=frozenset({'pip fruit', 'ice cream'}), items_add=frozenset({'rolls/buns'}), confidence=0.5, lift=4.545261239368165), OrderedStatistic(items_base=frozenset({'rolls/buns', 'ice cream'}), items_add=frozenset({'pip fruit'}), confidence=0.19230769230769232, lift=3.920299727520436), OrderedStatistic(items_base=frozenset({'pip fruit', 'rolls/buns'}), items_add=frozenset({'ice cream'}), confidence=0.06756756756756757, lift=4.453804024288606)]"
26,"frozenset({'root vegetables', 'margarine', 'shopping bags'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'margarine'}), items_add=frozenset({'root vegetables', 'shopping bags'}), confidence=0.01037344398340249, lift=3.1043568464730287), OrderedStatistic(items_base=frozenset({'root vegetables'}), items_add=frozenset({'margarine', 'shopping bags'}), confidence=0.0048030739673390966, lift=4.791226384886326), OrderedStatistic(items_base=frozenset({'shopping bags'}), items_add=frozenset({'root vegetables', 'margarine'}), confidence=0.00702247191011236, lift=3.623353351414181), OrderedStatistic(items_base=frozenset({'root vegetables', 'margarine'}), items_add=frozenset({'shopping bags'}), confidence=0.1724137931034483, lift=3.623353351414181), OrderedStatistic(items_base=frozenset({'margarine', 'shopping bags'}), items_add=frozenset({'root vegetables'}), confidence=0.3333333333333333, lift=4.791226384886326), OrderedStatistic(items_base=frozenset({'root vegetables', 'shopping bags'}), items_add=frozenset({'margarine'}), confidence=0.1, lift=3.104356846473029)]"
27,"frozenset({'margarine', 'sausage', 'yogurt'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'margarine', 'yogurt'}), confidence=0.0066445182724252485, lift=3.106935215946843), OrderedStatistic(items_base=frozenset({'margarine', 'yogurt'}), items_add=frozenset({'sausage'}), confidence=0.18749999999999997, lift=3.1069352159468435)]"
28,"frozenset({'pastry', 'newspapers', 'sausage'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'pastry'}), items_add=frozenset({'sausage', 'newspapers'}), confidence=0.006459948320413437, lift=3.580007656235047), OrderedStatistic(items_base=frozenset({'sausage', 'newspapers'}), items_add=frozenset({'pastry'}), confidence=0.1851851851851852, lift=3.580007656235047)]"
29,"frozenset({'yogurt', 'onions', 'tropical fruit'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'onions'}), items_add=frozenset({'yogurt', 'tropical fruit'}), confidence=0.016501650165016504, lift=3.1655665566556657), OrderedStatistic(items_base=frozenset({'tropical fruit'}), items_add=frozenset({'yogurt', 'onions'}), confidence=0.004930966469428009, lift=3.8832658569500684), OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'onions', 'tropical fruit'}), confidence=0.0038910505836575876, lift=3.2345438824038046), OrderedStatistic(items_base=frozenset({'onions', 'tropical fruit'}), items_add=frozenset({'yogurt'}), confidence=0.2777777777777778, lift=3.2345438824038046), OrderedStatistic(items_base=frozenset({'yogurt', 'onions'}), items_add=frozenset({'tropical fruit'}), confidence=0.26315789473684215, lift=3.8832658569500684), OrderedStatistic(items_base=frozenset({'yogurt', 'tropical fruit'}), items_add=frozenset({'onions'}), confidence=0.0641025641025641, lift=3.165566556655665)]"
30,"frozenset({'sausage', 'other vegetables', 'waffles'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'other vegetables'}), items_add=frozenset({'sausage', 'waffles'}), confidence=0.002736726874657909, lift=3.4124703521255246), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'other vegetables', 'waffles'}), confidence=0.005537098560354374, lift=3.186600221483942), OrderedStatistic(items_base=frozenset({'waffles'}), items_add=frozenset({'sausage', 'other vegetables'}), confidence=0.018050541516245487, lift=3.001002807862014), OrderedStatistic(items_base=frozenset({'sausage', 'other vegetables'}), items_add=frozenset({'waffles'}), confidence=0.05555555555555556, lift=3.001002807862014), OrderedStatistic(items_base=frozenset({'other vegetables', 'waffles'}), items_add=frozenset({'sausage'}), confidence=0.19230769230769232, lift=3.1866002214839426), OrderedStatistic(items_base=frozenset({'sausage', 'waffles'}), items_add=frozenset({'other vegetables'}), confidence=0.4166666666666667, lift=3.4124703521255246)]"
31,"frozenset({'yogurt', 'soft cheese', 'other vegetables'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'soft cheese'}), items_add=frozenset({'yogurt', 'other vegetables'}), confidence=0.03333333333333333, lift=4.122038567493113), OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'soft cheese', 'other vegetables'}), confidence=0.0038910505836575876, lift=3.2345438824038046), OrderedStatistic(items_base=frozenset({'soft cheese', 'other vegetables'}), items_add=frozenset({'yogurt'}), confidence=0.2777777777777778, lift=3.2345438824038046), OrderedStatistic(items_base=frozenset({'yogurt', 'other vegetables'}), items_add=frozenset({'soft cheese'}), confidence=0.04132231404958678, lift=4.122038567493113)]"
32,"frozenset({'pork', 'sausage', 'yogurt'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'pork', 'sausage'}), confidence=0.004669260700389105, lift=3.037658602605312), OrderedStatistic(items_base=frozenset({'pork', 'sausage'}), items_add=frozenset({'yogurt'}), confidence=0.2608695652173913, lift=3.037658602605312)]"
33,"frozenset({'whole milk', 'soda', 'pastry', 'other vegetables'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'pastry'}), items_add=frozenset({'whole milk', 'soda', 'other vegetables'}), confidence=0.006459948320413437, lift=5.685894512843897), OrderedStatistic(items_base=frozenset({'soda'}), items_add=frozenset({'whole milk', 'pastry', 'other vegetables'}), confidence=0.003441156228492774, lift=5.149002064693738), OrderedStatistic(items_base=frozenset({'whole milk'}), items_add=frozenset({'soda', 'pastry', 'other vegetables'}), confidence=0.0021159542953872196, lift=5.276837353646495), OrderedStatistic(items_base=frozenset({'pastry', 'other vegetables'}), items_add=frozenset({'whole milk', 'soda'}), confidence=0.09090909090909091, lift=7.817659352142111), OrderedStatistic(items_base=frozenset({'soda', 'other vegetables'}), items_add=frozenset({'whole milk', 'pastry'}), confidence=0.034482758620689655, lift=5.319232136509065), OrderedStatistic(items_base=frozenset({'whole milk', 'other vegetables'}), items_add=frozenset({'soda', 'pastry'}), confidence=0.022522522522522525, lift=5.524664008270566), OrderedStatistic(items_base=frozenset({'soda', 'pastry'}), items_add=frozenset({'whole milk', 'other vegetables'}), confidence=0.0819672131147541, lift=5.524664008270567), OrderedStatistic(items_base=frozenset({'whole milk', 'pastry'}), items_add=frozenset({'soda', 'other vegetables'}), confidence=0.051546391752577324, lift=5.319232136509065), OrderedStatistic(items_base=frozenset({'whole milk', 'soda'}), items_add=frozenset({'pastry', 'other vegetables'}), confidence=0.028735632183908046, lift=7.817659352142111), OrderedStatistic(items_base=frozenset({'soda', 'pastry', 'other vegetables'}), items_add=frozenset({'whole milk'}), confidence=0.8333333333333334, lift=5.276837353646496), OrderedStatistic(items_base=frozenset({'whole milk', 'pastry', 'other vegetables'}), items_add=frozenset({'soda'}), confidence=0.5, lift=5.149002064693738), OrderedStatistic(items_base=frozenset({'whole milk', 'soda', 'other vegetables'}), items_add=frozenset({'pastry'}), confidence=0.29411764705882354, lift=5.685894512843897)]"
34,"frozenset({'whole milk', 'sausage', 'rolls/buns', 'yogurt'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'whole milk', 'yogurt', 'rolls/buns'}), confidence=0.005537098560354374, lift=4.142580287929125), OrderedStatistic(items_base=frozenset({'whole milk'}), items_add=frozenset({'sausage', 'rolls/buns', 'yogurt'}), confidence=0.0021159542953872196, lift=3.517891569097663), OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'whole milk', 'sausage', 'rolls/buns'}), confidence=0.0038910505836575876, lift=3.4248111696040286), OrderedStatistic(items_base=frozenset({'sausage', 'rolls/buns'}), items_add=frozenset({'whole milk', 'yogurt'}), confidence=0.0625, lift=5.599925149700599), OrderedStatistic(items_base=frozenset({'whole milk', 'rolls/buns'}), items_add=frozenset({'sausage', 'yogurt'}), confidence=0.023923444976076555, lift=4.162401246244575), OrderedStatistic(items_base=frozenset({'yogurt', 'rolls/buns'}), items_add=frozenset({'whole milk', 'sausage'}), confidence=0.042735042735042736, lift=4.771973466003317), OrderedStatistic(items_base=frozenset({'whole milk', 'sausage'}), items_add=frozenset({'yogurt', 'rolls/buns'}), confidence=0.0373134328358209, lift=4.771973466003317), OrderedStatistic(items_base=frozenset({'sausage', 'yogurt'}), items_add=frozenset({'whole milk', 'rolls/buns'}), confidence=0.05813953488372093, lift=4.162401246244575), OrderedStatistic(items_base=frozenset({'whole milk', 'yogurt'}), items_add=frozenset({'sausage', 'rolls/buns'}), confidence=0.029940119760479045, lift=5.599925149700599), OrderedStatistic(items_base=frozenset({'whole milk', 'sausage', 'rolls/buns'}), items_add=frozenset({'yogurt'}), confidence=0.29411764705882354, lift=3.4248111696040286), OrderedStatistic(items_base=frozenset({'sausage', 'rolls/buns', 'yogurt'}), items_add=frozenset({'whole milk'}), confidence=0.5555555555555556, lift=3.5178915690976633), OrderedStatistic(items_base=frozenset({'whole milk', 'yogurt', 'rolls/buns'}), items_add=frozenset({'sausage'}), confidence=0.25, lift=4.142580287929125)]"
